group,n_random,n_bts,clicks_random,clicks_bts,population_weight_raw,v_random,v_bts,v0_ref,v1_ref,delta_ref,ref_se,ref_ci_lower,ref_ci_upper,ref_ci_width,reference_status,reference_interval_method,population_weight,campaign,direction,metrics_version,runner_revision
4,104126,935211,340,4632,1039337,0.0032652747632675796,0.004952892983508535,0.004952892983508535,0.0032652747632675796,-0.001687618220240955,0.000191118473397311,-0.0020465764556332265,-0.0012963024115590096,0.0007502740440742169,harmful,newcombe_wilson_difference,0.07568983405851366,all,bts_to_random,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
5,104131,935157,320,4486,1039288,0.003073052213077758,0.0047970554676915215,0.0047970554676915215,0.003073052213077758,-0.0017240032546137637,0.00018581116156888465,-0.002072617515852702,-0.0013431107820005494,0.0007295067338521524,harmful,newcombe_wilson_difference,0.07568626562799607,all,bts_to_random,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
6,40823,369117,119,1721,409940,0.0029150233936751343,0.004662478292790633,0.004662478292790633,0.0029150233936751343,-0.001747454899115499,0.0002894318408759384,-0.0022759969554926054,-0.0011366754928243401,0.0011393214626682652,harmful,newcombe_wilson_difference,0.02985392666088775,all,bts_to_random,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
7,40838,369158,129,1767,409996,0.0031588226651647973,0.004786568352846207,0.004786568352846207,0.0031588226651647973,-0.0016277456876814095,0.00030001643580269537,-0.002176749998574639,-0.0009961466287971067,0.0011806033697775325,harmful,newcombe_wilson_difference,0.029858004867193574,all,bts_to_random,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
8,40845,369181,140,1741,410026,0.003427592116538132,0.004715843989804459,0.004715843989804459,0.003427592116538132,-0.0012882518732663267,0.00031039165858141377,-0.0018571510574136455,-0.000636088893706668,0.0012210621637069774,harmful,newcombe_wilson_difference,0.029860189620571697,all,bts_to_random,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
9,133622,1204527,482,5801,1338149,0.003607190432713176,0.004815998313030758,0.004815998313030758,0.003607190432713176,-0.0012088078803175815,0.00017571880421069362,-0.0015408165021319582,-0.0008512956800495982,0.00068952082208236,harmful,newcombe_wilson_difference,0.09745085160594302,all,bts_to_random,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
10,133641,1204885,450,6357,1338526,0.003367230116506162,0.005276022192989373,0.005276022192989373,0.003367230116506162,-0.0019087920764832107,0.00017165955108731546,-0.002233041256044412,-0.001559400564062625,0.0006736406919817871,harmful,newcombe_wilson_difference,0.09747830667339473,all,bts_to_random,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
11,133669,1204806,444,6021,1338475,0.0033216377768966626,0.0049974850722854965,0.0049974850722854965,0.0033216377768966626,-0.001675847295388834,0.00016998356192416962,-0.001996766652682529,-0.0013296920326773976,0.0006670746200051316,harmful,newcombe_wilson_difference,0.09747459259265193,all,bts_to_random,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
12,2239,20025,5,103,22264,0.0022331397945511387,0.005143570536828964,0.005143570536828964,0.0022331397945511387,-0.0029104307422778255,0.001118343267543212,-0.004590903033218535,0.0002064508581709392,0.004797353891389474,ambiguous,newcombe_wilson_difference,0.0016213783070156728,all,bts_to_random,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
13,2240,20033,0,107,22273,0.0,0.00534118704138172,0.00534118704138172,0.0,-0.00534118704138172,0.0005149712280943689,-0.006449697230804713,-0.003398196694456031,0.003051500536348682,harmful,newcombe_wilson_difference,0.001622033733029109,all,bts_to_random,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
14,2229,19949,7,123,22178,0.0031404217137729925,0.006165722592611158,0.006165722592611158,0.0031404217137729925,-0.0030253008788381657,0.001308295354408452,-0.005031358932098251,0.00044832360706525834,0.005479682539163509,ambiguous,newcombe_wilson_difference,0.001615115347331728,all,bts_to_random,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
-1,1374327,12357200,4768,61208,13731527,0.0034693344451502445,0.004953225649823585,0.004953225649823585,0.0034693344451502445,-0.0014838912046733405,5.3985940115521806e-05,-0.0015884803388040891,-0.0013768371029776688,0.00021164323582642031,harmful,newcombe_wilson_difference,1.0,all,bts_to_random,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
0,14757,132659,62,839,147416,0.004201395947685844,0.006324486088392043,0.004201395947685844,0.006324486088392043,0.0021230901407061986,0.0005752237578681473,0.0008726458705899311,0.0031455215571849064,0.002272875686594975,beneficial,newcombe_wilson_difference,0.03351604491753879,men,random_to_bts,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
1,14767,132736,73,822,147503,0.004943455001015779,0.006192743490838959,0.004943455001015779,0.006192743490838959,0.0012492884898231797,0.0006160149689952465,-8.188278680813376e-05,0.002349243358110294,0.0024311261449184276,ambiguous,newcombe_wilson_difference,0.03353582496792563,men,random_to_bts,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
2,14775,132702,60,666,147477,0.0040609137055837565,0.005018763846814668,0.0040609137055837565,0.005018763846814668,0.0009578501412309112,0.0005580001692355073,-0.0002607489279391152,0.0019447332661591268,0.0022054821940982417,ambiguous,newcombe_wilson_difference,0.033529913688499675,men,random_to_bts,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
3,18330,164253,82,981,182583,0.00447354064375341,0.005972493653083962,0.00447354064375341,0.005972493653083962,0.0014989530093305519,0.0005283069840049706,0.0003645175775991345,0.0024479938288187613,0.0020834762512196266,beneficial,newcombe_wilson_difference,0.04151150505493966,men,random_to_bts,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
4,18343,164312,98,1015,182655,0.005342637518399389,0.006177272505964263,0.005342637518399389,0.006177272505964263,0.0008346349875648735,0.0005718998557307747,-0.0003854909342860392,0.0018676445572804415,0.002253135491566481,ambiguous,newcombe_wilson_difference,0.04152787475181152,men,random_to_bts,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
5,18333,164304,70,885,182637,0.0038182512409316535,0.005386356996786444,0.0038182512409316535,0.005386356996786444,0.0015681057558547908,0.0004899827476868031,0.0005085677856422669,0.0024429388994114567,0.0019343711137691899,beneficial,newcombe_wilson_difference,0.04152378232759356,men,random_to_bts,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
6,7173,64396,29,435,71569,0.004042938798271295,0.0067550779551524935,0.004042938798271295,0.0067550779551524935,0.0027121391568811987,0.0008158091668798585,0.0008539195158913575,0.004106175275758326,0.0032522557598669687,beneficial,newcombe_wilson_difference,0.016271706047534418,men,random_to_bts,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
7,7174,64421,54,427,71595,0.007527181488709228,0.006628273389112246,0.007527181488709228,0.006628273389112246,-0.0008989080995969812,0.0010693647544106062,-0.0032563591058669904,0.0009732967786551892,0.00422965588452218,ambiguous,newcombe_wilson_difference,0.016277617326960366,men,random_to_bts,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
8,7172,64431,31,342,71603,0.004322364751812605,0.0053080039111607765,0.004322364751812605,0.0053080039111607765,0.0009856391593481718,0.0008258405842290373,-0.0008974027707443449,0.002391562717556326,0.0032889654883006708,ambiguous,newcombe_wilson_difference,0.01627943618216835,men,random_to_bts,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
12,66599,997570,307,7590,1064169,0.0046096788240063665,0.0076084886273644955,0.0046096788240063665,0.0076084886273644955,0.002998809803358129,0.00027652371919435704,0.002429459651692423,0.0035151108227006256,0.0010856511710082028,beneficial,newcombe_wilson_difference,0.24194616597826787,men,random_to_bts,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
13,66615,998014,290,7304,1064629,0.004353373864745177,0.007318534609734933,0.004353373864745177,0.007318534609734933,0.002965160744989756,0.0002689724657983713,0.0024106062918768595,0.003466710246937609,0.0010561039550607493,beneficial,newcombe_wilson_difference,0.242050750152727,men,random_to_bts,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
14,66606,997929,280,6189,1064535,0.004203825481187881,0.0062018440189632726,0.004203825481187881,0.0062018440189632726,0.0019980185377753918,0.0002627273587357656,0.001455480393768723,0.0024871274638050564,0.0010316470700363334,beneficial,newcombe_wilson_difference,0.24202937860403317,men,random_to_bts,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
-1,452949,4077727,2321,27495,4530676,0.005124197205424894,0.006742727014339116,0.005124197205424894,0.006742727014339116,0.0016185298089142226,0.00011356671307037204,0.0013921407145646618,0.001837409238869175,0.0004452685243045132,beneficial,newcombe_wilson_difference,1.0,men,random_to_bts,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
0,14757,132659,62,839,147416,0.004201395947685844,0.006324486088392043,0.006324486088392043,0.004201395947685844,-0.0021230901407061986,0.0005752237578681473,-0.0031455215571849064,-0.0008726458705899311,0.002272875686594975,harmful,newcombe_wilson_difference,0.03351604491753879,men,bts_to_random,obd_eval_v6_drfixed,PRE-PAPER-FINAL-R6-DRFIX
