campaign,direction,n_label,method,deployment_coverage,clear_harmful_exposure,ambiguous_deployment_exposure,clear_beneficial_deployment_exposure,sign_agreement,hybrid_value,reference_clear_policy_value,hybrid_minus_reference_clear_policy,reference_sign_selective_value,hybrid_minus_reference_sign_selective,clear_reference_weight,ambiguous_reference_weight,runner_revision
all,random_to_bts,500000,bb_dr,0.5753177305044079,0.0,0.00089175806885862,0.5744259724355493,0.5576923076923077,0.0043421273587109475,0.0049436299910774455,-0.0006015026323664982,0.004953235110226753,-0.000611107751515806,0.9967635063456527,0.0032364936543474014,PRE-PAPER-FINAL-R6-DRFIX
all,random_to_bts,500000,bootstrap_dr,0.5045544060758865,0.0,0.00040534457675391814,0.5041490614991326,0.4461538461538462,0.004232923062831845,0.0049436299910774455,-0.0007107069282456001,0.004953235110226753,-0.000720312047394908,0.9967635063456527,0.0032364936543474014,PRE-PAPER-FINAL-R6-DRFIX
all,random_to_bts,full,bb_dr,0.9685246950320966,0.0,0.0016213783070156728,0.9669033167250809,0.9230769230769231,0.004909881455132256,0.0049436299910774455,-3.374853594518938e-05,0.004953235110226753,-4.335365509449719e-05,0.9967635063456526,0.003236493654347401,PRE-PAPER-FINAL-R6-DRFIX
all,random_to_bts,full,bootstrap_dr,0.9669033167250809,0.0,0.0,0.9669033167250809,0.9230769230769231,0.004905162545862656,0.0049436299910774455,-3.8467445214789876e-05,0.004953235110226753,-4.807256436409769e-05,0.9967635063456526,0.003236493654347401,PRE-PAPER-FINAL-R6-DRFIX
men,bts_to_random,10000,bb_dr,0.03414100356700242,0.015274041230264568,0.01886696233673785,0.0,0.9142857142857143,0.006692860967478337,0.006733597705286203,-4.0736737807866e-05,0.006748229787343548,-5.5368819865210094e-05,0.8588493330826346,0.14115066691736555,PRE-PAPER-FINAL-R6-DRFIX
men,bts_to_random,10000,bootstrap_dr,0.011027741861702888,0.004516331159877146,0.006511410701825743,0.0,0.9714285714285715,0.006723584132299706,0.006733597705286203,-1.0013572986496133e-05,0.006748229787343548,-2.4645655043840227e-05,0.8588493330826346,0.14115066691736555,PRE-PAPER-FINAL-R6-DRFIX
men,bts_to_random,100000,bb_dr,0.0008135853023767209,0.0008135853023767209,0.0,0.0,0.9928571428571429,0.006731391148730163,0.006733597705286203,-2.2065565560389683e-06,0.006748229787343548,-1.683863861338306e-05,0.8588493330826346,0.14115066691736555,PRE-PAPER-FINAL-R6-DRFIX
men,bts_to_random,100000,bootstrap_dr,0.0,0.0,0.0,0.0,1.0,0.006733597705286203,0.006733597705286203,0.0,0.006748229787343548,-1.4632082057344092e-05,0.8588493330826346,0.14115066691736555,PRE-PAPER-FINAL-R6-DRFIX
men,bts_to_random,250000,bb_dr,0.004166576671226689,0.0008135853023767209,0.0033529913688499675,0.0,0.9928571428571429,0.006728179485473965,0.006733597705286203,-5.418219812237989e-06,0.006748229787343548,-2.0050301869582082e-05,0.8588493330826346,0.14115066691736555,PRE-PAPER-FINAL-R6-DRFIX
men,bts_to_random,250000,bootstrap_dr,0.0016764956844249838,0.0,0.0016764956844249838,0.0,1.0,0.006731991873658104,0.006733597705286203,-1.6058316280995102e-06,0.006748229787343548,-1.6237913685443603e-05,0.8588493330826346,0.14115066691736555,PRE-PAPER-FINAL-R6-DRFIX
men,bts_to_random,50000,bb_dr,0.007870425209696953,0.0016758022458769396,0.006194622963820014,0.0,0.9928571428571429,0.006727361889286826,0.006733597705286203,-6.235815999376193e-06,0.006748229787343548,-2.0867898056720286e-05,0.8588493330826346,0.14115066691736555,PRE-PAPER-FINAL-R6-DRFIX
men,bts_to_random,50000,bootstrap_dr,0.0008138808663480183,0.0,0.0008138808663480183,0.0,1.0,0.00673432930938907,0.006733597705286203,7.316041028672046e-07,0.006748229787343548,-1.3900477954476888e-05,0.8588493330826346,0.14115066691736555,PRE-PAPER-FINAL-R6-DRFIX
men,bts_to_random,500000,bb_dr,0.004566076849815534,0.0016758022458769396,0.0028902746039385944,0.0,0.9928571428571429,0.006729038399301722,0.006733597705286203,-4.559305984481142e-06,0.006748229787343548,-1.9191388041825234e-05,0.8588493330826346,0.14115066691736555,PRE-PAPER-FINAL-R6-DRFIX
